Item,Qty
"A1 Gold Lava Mobile , HSN-85171210.",4 pcs
"A1 LAVA MOBILE , HSN-85171210.",8 pcs
"B 110 Samsung ,Hsn- 85171210",15 pcs
"B 310 E GURU MUSIC 2 Samsung , Hsn-85171210",46 pcs
"B 313E METRO Samsung , Hsn - 85171210",10 pcs
"E 1200 Samsung , Hsn-85171210",88 pcs
"Gear Watch SM R375 Black INU ,HSN-85176290.",2 pcs
"Gear Watch SM R375 White INU ,HSN-85176290.",1 pcs
"KKT PEARL FM LAVA MOBILE , HSN- 85171210.",6 pcs
"Lava  34 Super+ , Hsn-85171210.",50 pcs
"Lava  A 1200 Mobile , Hsn-85171210.",35 pcs
"Lava  A1 GOLD  Mobile , HSN-85171210.",10 pcs
"Lava  A1 Lite  Mobile , HSN-85171210.",15 pcs
"Lava A1 Mobile , HSN-85171210.",24 pcs
"Lava A1 Super Mobile , HSN-85171210.",22 pcs
"Lava  A3  Mobile , HSN-85171210.",3 pcs
"Lava  A5  Mobile , Hsn-85171210.",30 pcs
"Lava  A7  Mobile , HSN-85171210.",11 pcs
Lava A7 Wave,11 pcs
"Lava  A7 WAVE  Mobile , HSN-85171210.",13 pcs
"LAVA GEM MOBILE , HSN- 85171290.",12 pcs
"Lava Gem Wave Mobile , Hsn-85171210.",5 pcs
"Lava  Hero 600  Mobile , Hsn-85171210.",9 pcs
LAVA KKT 34 Power,2 pcs
"LAVA KKT 34 SUPER MOBILE , HSN- 85171210.",2 pcs
"LAVA KKT PEARL FM, Hsn-85171210",2 pcs
"LAVA ONE , Hsn-85171210",2 pcs
LAVA PRIME Z,2 pcs
"Lava  Prime Z  Mobile , HSN-85171210.",4 pcs
"LAVA SPARK 18 , Hsn-85171210",3 pcs
"LAVA Spark  I 8 , HSN-85171210.",12 pcs
"LAVA Z40 MOBILE , HSN- 85171290.",5 pcs
"LAVA Z50 , Hsn-85171290.",4 pcs
"LAVA Z60S, Hsn-85171290",1 pcs
"LAVA Z61 2 GB , HSN-85171290.",1 pcs
"Lava Z62 Mobile , HSN-85171290.",2 pcs
"N 105 DS (2019), Hsn-85171290.",21 pcs
"N 105 SS (2019), Hsn-85171210.",4 pcs
"N 106 New  , Hsn-85171210.",15 pcs
"N 110 DS (2019), Hsn-85171210.",5 pcs
"N 150 DS , Hsn-85171290.",12 pcs
NOKIA 8110 4G,7 pcs
"Nokia N150DS , HSN-85171290.",11 pcs
"Nokia N216 , HSN- 85171290.",5 pcs
NOKIA NEW 106,24 pcs
"Nokia New N 130 , Hsn - 85171210",1 pcs
"SAMSUNG A 260F A2 CORE, HSN-85171290",14 pcs
"SAMSUNG A 305F-4/64GB, HSN-85171290",3 pcs
"SAMSUNG A 505F-4/64GB, HSN-85171290",2 pcs
"Samsung A705GM/DS , Hsn-85171290.",2 pcs
Samsung Mobile SM-507 6GB  / HSN-85171290,1 pcs
Samsung SM - A 107 2GB  / HSN 85171290.,1 pcs
Samsung SM - A 107 3GB / HSN 85171290.,2 pcs
Samsung SM - A 207 3GB / HSN 85171290.,1 pcs
Samsung SM - A 507 4GB  / HSN 85171290.,-1 pcs
Samsung SM - A 707 8GB  / HSN 85171290.,-1 pcs
"SM-A 107F/DS,INS 2GB Samsung , HSN-85171290.",3 pcs
"SM-A 307FN/DS,INS  Samsung , HSN-85171290.",1 pcs
"SPARK 18 LAVA MOBILE , HSN-85171210.",5 pcs
T 285 Samsung Tab,4 pcs
"Tablet , SM T515 Samsung Tab, HSN-84713090.",1 pcs
