date,amount
2020-03-01,0
2020-03-02,15340
2020-03-03,16480
2020-03-04,13270
2020-03-05,15590
2020-03-06,12820
2020-03-07,0
2020-03-08,12320
2020-03-09,14760
2020-03-10,8670
2020-03-11,13250
2020-03-12,15780
2020-03-13,12490
2020-03-14,0
2020-03-15,11630
2020-03-16,10890
2020-03-17,15470
2020-03-18,13260
2020-03-19,15130
2020-03-20,14620
2020-03-21,0
2020-03-22,12430
2020-03-23,12940
2020-03-24,16320
2020-03-25,11990
2020-03-26,13950
2020-03-27,17340
2020-03-28,0
2020-03-29,12890
2020-03-30,9760
2020-03-31,13480
