Item,Price,GST,,,,,,,,,,,
"B 110 Samsung ,Hsn- 85171210",1350,12,,,,,,,,,,,
"B 310 E GURU MUSIC 2 Samsung , Hsn-85171210",1575,12,,,,,,,,,,,
"B 313E METRO Samsung , Hsn - 85171210",1950,12,,,,,,,,,,,
BEETEL  FWP  F1N,1990,12,,,,,,,,,,,
"E 1200 Samsung , Hsn-85171210",1075,12,,,,,,,,,,,
"Gear Watch SM R375 Black INU ,HSN-85176290.",2550,18,,,,,,,,,,,
"KKT PEARL FM LAVA MOBILE , HSN- 85171210.",1150,12,,,,,,,,,,,
"Lava  34 Super+ , Hsn-85171210.",1350,12,,,,,,,,,,,
"Lava  A 1200 Mobile , Hsn-85171210.",1000,12,,,,,,,,,,,
"Lava  A1 GOLD  Mobile , HSN-85171210.",780,12,,,,,,,,,,,
"Lava A1 Super Mobile , HSN-85171210.",780,12,,,,,,,,,,,
"Lava  A5  Mobile , Hsn-85171210.",980,12,,,,,,,,,,,
"Lava  A7  Mobile , HSN-85171210.",1180,12,,,,,,,,,,,
"Lava  A7 WAVE  Mobile , HSN-85171210.",1210,12,,,,,,,,,,,
"LAVA GEM MOBILE , HSN- 85171290.",1280,12,,,,,,,,,,,
"Lava Gem Wave Mobile , Hsn-85171210.",1300,12,,,,,,,,,,,
"LAVA KKT 34 SUPER MOBILE , HSN- 85171210.",1350,12,,,,,,,,,,,
"LAVA KKT PEARL FM, Hsn-85171210",1150,12,,,,,,,,,,,
"Lava  Prime Z  Mobile , HSN-85171210.",1220,12,,,,,,,,,,,
"LAVA SPARK 18 , Hsn-85171210",1300,12,,,,,,,,,,,
"LAVA Spark  I 8 , HSN-85171210.",1310,12,,,,,,,,,,,
"LAVA Z40 MOBILE , HSN- 85171290.",3350,12,,,,,,,,,,,
"LAVA Z50 , Hsn-85171290.",3810,12,,,,,,,,,,,
"LAVA Z60S, Hsn-85171290",4350,12,,,,,,,,,,,
"LAVA Z61 2 GB , HSN-85171290.",5770,12,,,,,,,,,,,
"N 105 DS (2019), Hsn-85171290.",1180,12,,,,,,,,,,,
"N 105 SS (2019), Hsn-85171210.",980,12,,,,,,,,,,,
"N 106 New  , Hsn-85171210.",1220,12,,,,,,,,,,,
"N 110 DS (2019), Hsn-85171210.",1560,12,,,,,,,,,,,
"N 150 DS , Hsn-85171290.",1920,12,,,,,,,,,,,
NOKIA 8110 4G,2960,12,,,,,,,,,,,
"Nokia N150DS , HSN-85171290.",1920,12,,,,,,,,,,,
"Nokia N216 , HSN- 85171290.",2450,12,,,,,,,,,,,
NOKIA NEW 106,1230,12,,,,,,,,,,,
"SAMSUNG A 260F A2 CORE, HSN-85171290",5290,12,,,,,,,,,,,
"SAMSUNG A 305F-4/64GB, HSN-85171290",15340,12,,,,,,,,,,,
"SAMSUNG A 505F-4/64GB, HSN-85171290",19800,12,,,,,,,,,,,
"Samsung A705GM/DS , Hsn-85171290.",28710,12,,,,,,,,,,,
"Samsung Mobile SM-307 4,64 /HSN-85171290",15850,12,,,,,,,,,,,
Samsung Mobile SM-507 6GB  / HSN-85171290,21800,12,,,,,,,,,,,
Samsung SM - A 107 3GB / HSN 85171290.,9900,12,,,,,,,,,,,
"SM-A 307FN/DS,INS  Samsung , HSN-85171290.",16850,12,,,,,,,,,,,
"SPARK 18 LAVA MOBILE , HSN-85171210.",1300,12,,,,,,,,,,,
T 285 Samsung Tab,9050,12,,,,,,,,,,,
"Tablet , SM T515 Samsung Tab, HSN-84713090.",19900,12,,,,,,,,,,,
,,12,,,,,,,,,,,
,,12,,,,,,,,,,,
,,12,,,,,,,,,,,
,,12,,,,,,,,,,,
,,12,,,,,,,,,,,
,,12,,,,,,,,,,,
,,12,,,,,,,,,,,
,,12,,,,,,,,,,,
,,12,,,,,,,,,,,
,,12,,,,,,,,,,,
,,12,,,,,,,,,,,
,,12,,,,,,,,,,,
,,12,,,,,,,,,,,
,,12,,,,,,,,,,,
,,18,,,,,,,,,,,
,,18,,,,,,,,,,,
